pl_name,pl_rade,pl_bmasse
"WASP-6 b",12.54284940,148.42586607
"WASP-7 b",14.90797000,305.11680000
"WASP-8 b",12.66617000,807.28820000
"XO-1 b",12.77826000,263.79890000
"XO-3 b",14.79585452,4217.58296089
"XO-4 b",14.01125000,451.31860000
"XO-5 b",12.78000000,378.20000000
"CoRoT-16 b",13.11000000,170.03200000
"HN Peg b",11.77680000,6991.57000000
"Ross 458 c",14.01125000,1906.98000000
"WASP-23 b",10.78300000,280.95000000
"KOI-55 b",0.75900000,0.44000000
"KOI-55 c",0.86700000,0.65500000
"HATS-1 b",14.59400000,589.55000000
"WASP-78 b",21.63337000,352.79130000
"WASP-79 b",17.14974047,270.15414595
"KELT-1 b",12.44200000,8654.15000000
"KELT-2 A b",15.13215000,540.31100000
"Kepler-36 b",1.49800000,3.83000000
"GJ 3470 b",4.57000000,13.90000000
"HAT-P-39 b",17.60900000,190.37200000
"HAT-P-40 b",17.03768000,152.55840000
"HAT-P-41 b",22.97845000,378.21770000
"WASP-42 b",12.57649800,167.49641000
"WASP-47 b",12.86000000,374.00000000
"WASP-49 b",12.44199000,117.59710000
"WASP-55 b",14.72860064,186.24744650
"WASP-61 b",15.80469000,851.78440000
"WASP-62 b",14.79588000,165.27160000
"WASP-63 b",15.80469000,117.59710000
"WASP-66 b",15.69260000,746.90050000
"WASP-67 b",12.89035000,136.66690000
"HAT-P-38 b",9.24700000,84.85700000
"Kepler-47 b",3.05000000,2.07000000
"Kepler-47 c",4.65000000,3.17000000
"WTS-1 b",16.70000000,1274.44000000
"WASP-54 b",17.71022000,187.51970000
"WASP-56 b",10.53646000,143.02350000
"WASP-57 b",11.76945000,204.68252000
"WASP-52 b",14.24000000,146.20000000
"WASP-58 b",16.02887000,308.29510000
"WASP-59 b",8.68700000,274.27600000
"WASP-60 b",9.86392000,174.80650000
"kap And b",15.91675259,5498.43144110
"WASP-64 b",14.24700000,403.94500000
"WASP-72 b",14.45961000,731.00900000
"WASP-80 b",11.19779100,170.99254000
"WASP-71 b",13.22662000,441.78370000
"PH1 b",6.18000000,169.00000000
"KELT-3 b",17.48604000,616.59020000
"Kepler-78 b",1.20100000,1.68000000
"HD 203030 b",14.45958510,3496.11247700
"WD 0806-661 b",12.10569916,2224.79884900
"POTS-1 b",10.54800000,734.16000000
"HATS-2 b",12.57647635,435.42491759
"HATS-3 b",15.48000000,340.38200000
"WASP-65 b",12.46400000,492.62000000
"WASP-75 b",14.23500000,340.06000000
"HAT-P-42 b",14.34800000,331.80100000
"WISEP J121756.91+162640.2 A b",10.46800000,6992.00000000
"CoRoT-27 b",11.28700000,3302.11000000
"WASP-103 b",17.12700000,473.54700000
"KELT-6 b",14.57170000,165.27160000
"Kepler-413 b",4.34700000,67.00000000
"HAT-P-49 b",17.82231000,699.22600000
"WTS-2 b",15.27786700,355.96960000
"WASP-68 b",14.79588000,343.25640000
"WASP-73 b",15.91678000,908.99380000
"WASP-88 b",16.36514000,133.48860000
"WASP-95 b",13.78707000,457.67520000
"WASP-96 b",13.45000000,152.55000000
"WASP-97 b",12.77826000,432.24880000
"WASP-98 b",12.82309600,293.03926000
"WASP-99 b",11.43318000,772.32690000
"WASP-100 b",14.90797000,400.46580000
"WASP-101 b",16.02887000,162.09330000
"CoRoT-25 b",12.11000000,85.81000000
"CoRoT-26 b",14.12000000,165.26000000
"HAT-P-44 b",13.92200000,111.87100000
"HAT-P-45 b",15.98400000,283.49200000
"HAT-P-46 b",14.39200000,156.68400000
"GU Psc b",14.17900000,3591.30000000
"HATS-5 b",10.22300000,75.32300000
"CoRoT-24 b",3.70000000,5.70000000
"CoRoT-24 c",5.00000000,28.00000000
"HATS-4 b",11.43300000,420.47100000
"CoRoT-22 b",4.88000000,12.20000000
"Kepler-412 b",15.03126900,299.07803000
"WASP-117 b",11.88154000,95.34900000
"WASP-104 b",12.74500000,404.26300000
"WASP-106 b",12.10569916,613.40882551
"WASP-94 A b",17.71022000,158.91500000
"WASP-69 b",11.21000000,82.58000000
"WASP-70 A b",13.04700000,187.51200000
"WASP-84 b",10.72000000,220.00000000
"Kepler-289 d",3.03000000,5.33000000
"HIP 116454 b",2.46900000,9.70000000
"WASP-82 b",18.15858000,371.86110000
"K2-3 b",2.07800000,5.11000000
"K2-3 c",1.58200000,2.68000000
"K2-3 d",1.45800000,2.20000000
"CoRoT-28 b",10.70459500,153.82972000
"CoRoT-29 b",10.08810000,270.15550000
"HAT-P-54 b",10.58129600,241.55080000
"HD 100546 b",77.34210000,2701.54145950
"HATS-6 b",11.18658200,101.38777000
"VHS J125601.92-125723.9 b",13.67495645,5085.25451200
"2MASS J02192210-3925225 b",16.14096000,4417.83700000
"HATS-10 b",10.86152100,167.17858000
"KELT-7 b",17.93440000,441.78370000
"HAT-P-55 b",14.84069045,189.42573057
"HATS-8 b",9.78545700,43.86054000
"WASP-74 b",15.24424000,228.83760000
"WASP-83 b",11.65736000,95.34900000
"WASP-89 b",11.65736000,1875.19700000
"K2-19 b",7.00000000,30.80000000
"K2-19 c",4.10000000,11.00000000
"K2-10 b",3.77300000,25.20000000
"K2-12 b",2.44000000,5.20000000
"K2-18 b",2.37000000,8.92000000
"HAT-P-56 b",16.92559000,734.18730000
"HD 219134 b",1.60200000,4.74000000
"HD 219134 c",1.51100000,4.36000000
"HD 219134 d",1.61000000,16.17000000
"HATS-13 b",13.58530800,172.58169000
"HATS-14 b",11.64615100,340.39593000
"KELT-8 b",18.15858000,209.76780000
"WASP-47 d",3.65000000,15.50000000
"WASP-47 e",1.83000000,9.00000000
"Kepler-453 b",6.20400000,16.00000000
"HAT-P-57 b",19.50366000,448.14030000
